(723,586)
(682,563)
(651,538)
(613,514)
(575,482)
(524,477)
(464,469)
(399,445)
(362,474)
(296,488)
(216,488)
(220,423)
(298,407)
(336,383)
(289,375)
(252,365)
(216,353)
(174,336)
(167,297)
(181,274)
(215,283)
(256,294)
(285,299)
(311,303)
(347,313)
(329,305)
(305,297)
(281,287)
(236,272)
(207,259)
(174,234)
(180,203)
(219,194)
(261,211)
(297,221)
(333,237)
(376,250)
(361,223)
(332,192)
(302,159)
(277,127)
(274,90)
(303,73)
(341,90)
(372,121)
(406,157)
(440,185)
(485,213)
(517,199)
(530,161)
(545,107)
(555,63)
(595,50)
(642,54)
(636,101)
(629,155)
(623,200)
(628,245)
(642,306)
(652,329)
(670,343)
(705,358)
(720,372)
(766,387)
(784,395)
